Date,Open,High,Low,Close,Adj Close,Volume
2023-06-01,182.809998,184.210007,182.720001,183.759995,183.759995,7300500
2023-06-02,183.529999,183.559998,180.960007,181.050003,181.050003,8724800
2023-06-05,180.789993,182.440002,180.600006,182.139999,182.139999,5748800
2023-06-06,182.360001,182.649994,181.520004,182.339996,182.339996,4967200
2023-06-07,181.940002,183.000000,180.149994,180.149994,180.149994,9066500
2023-06-08,182.000000,183.039993,181.960007,182.529999,182.529999,6394100
2023-06-09,182.360001,182.789993,181.720001,182.039993,182.039993,4379200
2023-06-12,181.800003,181.940002,181.039993,181.880005,181.880005,4873600
2023-06-13,182.100006,182.429993,180.169998,180.539993,180.539993,5126700
2023-06-14,181.690002,181.960007,180.139999,180.639999,180.639999,6807000
2023-06-15,180.279999,182.050003,180.179993,181.910004,181.910004,6739000
2023-06-16,181.929993,182.619995,181.410004,181.630005,181.630005,8778600
2023-06-20,180.059998,180.089996,179.220001,179.750000,179.750000,7584200
2023-06-21,179.149994,179.949997,178.190002,179.490005,179.490005,6702300
2023-06-22,178.360001,178.990005,177.630005,177.710007,177.710007,7945000
2023-06-23,179.600006,179.949997,178.089996,178.199997,178.199997,5416800
2023-06-26,179.050003,179.080002,178.419998,178.509995,178.509995,3222100
2023-06-27,179.070007,179.289993,177.429993,177.690002,177.690002,5036900
2023-06-28,177.229996,177.690002,176.699997,177.279999,177.279999,5866700
2023-06-29,175.830002,177.630005,175.789993,177.089996,177.089996,6862500
2023-06-30,177.690002,178.529999,177.320007,178.270004,178.270004,6420600
2023-07-03,178.610001,179.339996,178.460007,178.470001,178.470001,4085700
2023-07-05,179.410004,179.419998,177.830002,177.839996,177.839996,5650600
2023-07-06,177.509995,177.800003,176.660004,177.309998,177.309998,5133000
2023-07-07,178.380005,179.649994,178.350006,178.639999,178.639999,5200300
2023-07-10,178.369995,178.919998,178.259995,178.779999,178.779999,3320500
2023-07-11,179.429993,179.710007,179.130005,179.449997,179.449997,2819600
2023-07-12,181.179993,181.949997,181.100006,181.880005,181.880005,7062000
2023-07-13,181.960007,182.149994,181.490005,182.009995,182.009995,4527900
2023-07-14,181.589996,182.169998,181.110001,181.429993,181.429993,5389300
2023-07-17,180.990005,181.630005,180.639999,181.559998,181.559998,4152400
2023-07-18,182.789993,184.229996,182.320007,183.639999,183.639999,8242600
2023-07-19,183.449997,183.839996,182.869995,183.669998,183.669998,3911600
2023-07-20,183.729996,183.770004,182.470001,182.740005,182.740005,4972900
2023-07-21,182.059998,182.460007,181.679993,182.179993,182.179993,3843500
2023-07-24,182.220001,182.539993,181.339996,181.399994,181.399994,4370000
2023-07-25,181.720001,182.470001,181.100006,182.410004,182.410004,4090100
2023-07-26,182.660004,183.639999,182.309998,183.300003,183.300003,6158400
2023-07-27,181.639999,181.639999,180.320007,180.419998,180.419998,7592800
2023-07-28,181.479996,182.270004,181.250000,181.860001,181.860001,3828800
2023-07-31,182.429993,183.089996,182.309998,182.350006,182.350006,5494800
2023-08-01,180.850006,181.380005,180.190002,180.460007,180.460007,6239700
2023-08-02,180.570007,180.789993,179.410004,179.600006,179.600006,6339700
2023-08-03,179.440002,179.949997,179.279999,179.539993,179.539993,4636300
2023-08-04,180.250000,180.770004,179.850006,180.190002,180.190002,5325700
2023-08-07,180.149994,180.149994,179.270004,179.779999,179.779999,4510400
2023-08-08,178.639999,179.330002,178.460007,178.639999,178.639999,6162900
2023-08-09,178.679993,178.919998,177.779999,177.789993,177.789993,4644000
2023-08-10,178.220001,178.699997,177.539993,177.600006,177.600006,5934600
2023-08-11,177.699997,178.360001,177.490005,177.600006,177.600006,5289400
2023-08-14,176.860001,177.580002,176.580002,177.059998,177.059998,9554500
2023-08-15,176.750000,177.429993,176.330002,176.589996,176.589996,7582700
2023-08-16,176.619995,176.949997,175.559998,175.570007,175.570007,6559400
2023-08-17,176.529999,176.559998,174.929993,175.300003,175.300003,7937700
2023-08-18,175.830002,176.059998,175.100006,175.330002,175.330002,6251000
2023-08-21,175.899994,175.940002,174.960007,175.809998,175.809998,4206400
2023-08-22,175.830002,176.250000,175.309998,176.100006,176.100006,5892500
2023-08-23,177.320007,178.220001,177.070007,177.889999,177.889999,7949100
2023-08-24,177.660004,178.490005,177.410004,177.850006,177.850006,5526400
2023-08-25,177.580002,178.380005,176.630005,177.619995,177.619995,6132800
2023-08-28,177.649994,178.729996,177.509995,178.130005,178.130005,4740700
2023-08-29,178.029999,179.880005,177.899994,179.869995,179.869995,7576600
2023-08-30,180.580002,180.880005,180.289993,180.320007,180.320007,6593700
2023-08-31,180.369995,180.490005,179.940002,180.020004,180.020004,4795600
2023-09-01,180.800003,181.119995,179.509995,180.110001,180.110001,4969300
2023-09-05,179.330002,179.440002,178.639999,178.639999,178.639999,7056800
2023-09-06,178.330002,179.009995,177.699997,177.830002,177.830002,6427200
